title,description,text,compound,sentiment
VACATION,,VACATION ,0.0,Neutral
christmas,,christmas ,0.0,Neutral
Dubstep,,Dubstep ,0.0,Neutral
Pop,,Pop ,0.0,Neutral
Gym,,Gym ,0.0,Neutral
Mia,,Mia ,-0.296,Negative
Musica,,Musica ,0.0,Neutral
Australia Day,,Australia Day ,0.0,Neutral
Slay,,Slay ,0.0,Neutral
II,,II ,0.0,Neutral
Arab,,Arab ,0.0,Neutral
Take Me Back,,Take Me Back ,0.0,Neutral
Christmas Time,,Christmas Time ,0.0,Neutral
feel good,,feel good ,0.4404,Positive
😈😈😈,,😈😈😈 ,0.8402,Positive
Rock,,Rock ,0.0,Neutral
Lifting ,,Lifting  ,0.0,Neutral
Panda,,Panda ,0.0,Neutral
Car Party,,Car Party ,0.4019,Positive
discovered,,discovered ,0.0,Neutral
2000s hits,,2000s hits ,0.0,Neutral
Workout,,Workout ,0.0,Neutral
recommendations !! ,,recommendations !!  ,0.0,Neutral
eclipse,,eclipse ,0.0,Neutral
classical,,classical ,0.0,Neutral
Feel Good,,Feel Good ,0.4404,Positive
summer 2k17,,summer 2k17 ,0.0,Neutral
cake ,,cake  ,0.0,Neutral
lean,,lean ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
Say You Won't Let Go,,Say You Won't Let Go ,0.0,Neutral
Deep Thoughts,,Deep Thoughts ,0.0,Neutral
Dinner Party,,Dinner Party ,0.4019,Positive
Clubbin,,Clubbin ,0.0,Neutral
For You,,For You ,0.0,Neutral
tb,,tb ,0.0,Neutral
Blues,,Blues ,0.0,Neutral
Country Favorites,,Country Favorites ,0.4215,Positive
Work,,Work ,0.0,Neutral
twenty sixteen,,twenty sixteen ,0.0,Neutral
Life ,,Life  ,0.0,Neutral
Waltz,,Waltz ,0.0,Neutral
uhhhh,,uhhhh ,0.0,Neutral
Throwback,,Throwback ,0.0,Neutral
Cinderella,,Cinderella ,0.0,Neutral
😍😍😍,,😍😍😍 ,0.8402,Positive
My Musics,,My Musics ,0.0,Neutral
Dark Side,,Dark Side ,0.0,Neutral
Club,,Club ,0.0,Neutral
december,,december ,0.0,Neutral
chill time,,chill time ,0.0,Neutral
PARTY ,,PARTY  ,0.4019,Positive
three,,three ,0.0,Neutral
Alternativo ,,Alternativo  ,0.0,Neutral
Partay,,Partay ,0.0,Neutral
rock songs,,rock songs ,0.0,Neutral
Lulu,,Lulu ,0.0,Neutral
Amy,,Amy ,0.0,Neutral
Old songs ,,Old songs  ,0.0,Neutral
Wedding Cocktail Hour,,Wedding Cocktail Hour ,0.0,Neutral
ALT,,ALT ,0.0,Neutral
Drake,,Drake ,0.0,Neutral
Wedding,,Wedding ,0.0,Neutral
MY FAV,,MY FAV ,0.4588,Positive
party,,party ,0.4019,Positive
pop,,pop ,0.0,Neutral
winter,,winter ,0.0,Neutral
my favorite songs,,my favorite songs ,0.4588,Positive
yoga,,yoga ,0.0,Neutral
classic,,classic ,0.0,Neutral
Cody,,Cody ,0.0,Neutral
raw,,raw ,0.0,Neutral
Band Music,,Band Music ,0.0,Neutral
Rave,,Rave ,0.0,Neutral
Throwbacks,,Throwbacks ,0.0,Neutral
Swing,,Swing ,0.0,Neutral
CARDIO,,CARDIO ,0.0,Neutral
PARTY 1,,PARTY 1 ,0.5319,Positive
throwback,,throwback ,0.0,Neutral
running,,running ,0.0,Neutral
Wet Dreamz,,Wet Dreamz ,0.0,Neutral
roadtrip 🚗,,roadtrip 🚗 ,0.0,Neutral
Feels,,Feels ,0.0,Neutral
dubstep,,dubstep ,0.0,Neutral
Rock en español ,,Rock en español  ,0.0,Neutral
summer country,,summer country ,0.0,Neutral
Pop,,Pop ,0.0,Neutral
lit,,lit ,0.0,Neutral
Best of 2016,,Best of 2016 ,0.6369,Positive
country,,country ,0.0,Neutral
rap,,rap ,0.0,Neutral
2000s r&b,,2000s r&b ,0.0,Neutral
my songs ,,my songs  ,0.0,Neutral
Not Rap,,Not Rap ,0.0,Neutral
fuego,,fuego ,0.0,Neutral
spanish ,,spanish  ,0.0,Neutral
Best,,Best ,0.6369,Positive
will,,will ,0.0,Neutral
Chill,I listen to this at the moment. Try a couple songs from each artist to see how you like them.,Chill I listen to this at the moment. Try a couple songs from each artist to see how you like them.,0.3612,Positive
Holiday Party,,Holiday Party ,0.6597,Positive
New ish,,New ish ,0.0,Neutral
Running,,Running ,0.0,Neutral
Mad Men,,Mad Men ,-0.4939,Negative
EBM,,EBM ,0.0,Neutral
2000s,,2000s ,0.0,Neutral
Disney,,Disney ,0.0,Neutral
Buena Vista Social Club,,Buena Vista Social Club ,0.0,Neutral
Summer 2016,,Summer 2016 ,0.0,Neutral
xmas party,,xmas party ,0.4019,Positive
for you,,for you ,0.0,Neutral
Luke,,Luke ,0.0,Neutral
L O V E ,,L O V E  ,0.4588,Positive
Summer Country,,Summer Country ,0.0,Neutral
kitchen,,kitchen ,0.0,Neutral
Yeah,,Yeah ,0.296,Positive
Britney,,Britney ,0.0,Neutral
ghetto,,ghetto ,0.0,Neutral
HARDCORE WORKOUT,,HARDCORE WORKOUT ,0.0,Neutral
#mood,,#mood ,0.0,Neutral
Gospel Mix,,Gospel Mix ,0.0,Neutral
Turnt,,Turnt ,0.0,Neutral
GOOD MUSIC ,,GOOD MUSIC  ,0.4404,Positive
Tangled,,Tangled ,0.0,Neutral
music,,music ,0.0,Neutral
The Mix,Just a big mix of music,The Mix Just a big mix of music,0.0,Neutral
Fun,,Fun ,0.5106,Positive
Elliot,,Elliot ,0.0,Neutral
summer 2016,,summer 2016 ,0.0,Neutral
Classical favorites,,Classical favorites ,0.4215,Positive
no,,no ,-0.296,Negative
4th of july,,4th of july ,0.0,Neutral
Sugar,,Sugar ,0.0,Neutral
vibin,,vibin ,0.0,Neutral
ha,,ha ,0.34,Positive
christmas,,christmas ,0.0,Neutral
electro,"but actually electric, teenage songs","electro but actually electric, teenage songs",0.0,Neutral
00s,,00s ,0.0,Neutral
Rage,,Rage ,-0.5574,Negative
New jams,,New jams ,0.0,Neutral
Main Playlist,,Main Playlist ,0.0,Neutral
Christmas,,Christmas ,0.0,Neutral
Cruising,,Cruising ,0.0,Neutral
Girl Power,,Girl Power ,0.0,Neutral
Summer 2016,,Summer 2016 ,0.0,Neutral
Baes,,Baes ,0.0,Neutral
ATL,,ATL ,0.0,Neutral
Soulful  ,,Soulful   ,0.0,Neutral
😴😴,,😴😴 ,0.0,Neutral
Country,,Country ,0.0,Neutral
Pitch Perfect,,Pitch Perfect ,0.5719,Positive
feels,,feels ,0.0,Neutral
siesta,,siesta ,0.0,Neutral
Shape of You,,Shape of You ,0.0,Neutral
Country,,Country ,0.0,Neutral
Workout,,Workout ,0.0,Neutral
mellow,,mellow ,0.0,Neutral
Helene,,Helene ,0.0,Neutral
Christian music,,Christian music ,0.0,Neutral
Runaway,,Runaway ,0.0,Neutral
work music,,work music ,0.0,Neutral
Country,,Country ,0.0,Neutral
Good Stuff,,Good Stuff ,0.4404,Positive
car playlist ,,car playlist  ,0.0,Neutral
2K14,,2K14 ,0.0,Neutral
Summer drives,,Summer drives ,0.0,Neutral
💸💸,,💸💸 ,0.0,Neutral
Country,,Country ,0.0,Neutral
road trip ,,road trip  ,0.0,Neutral
musicals,,musicals ,0.0,Neutral
Throwback,,Throwback ,0.0,Neutral
ease ~,,ease ~ ,0.3612,Positive
Groovy,,Groovy ,0.0,Neutral
WORKOUT,,WORKOUT ,0.0,Neutral
Easy Listening ,,Easy Listening  ,0.4404,Positive
Cancun,,Cancun ,0.0,Neutral
Star Wars,The best from the movies,Star Wars The best from the movies,0.1531,Positive
 CHiLl,, CHiLl ,0.0,Neutral
jan 2015,,jan 2015 ,0.0,Neutral
feel good,,feel good ,0.4404,Positive
explicit,,explicit ,0.0,Neutral
Broadway Baby,,Broadway Baby ,0.0,Neutral
Worship,,Worship ,0.296,Positive
pregame,,pregame ,0.0,Neutral
Hawaii,,Hawaii ,0.0,Neutral
Roadtrip,,Roadtrip ,0.0,Neutral
.jams.,,.jams. ,0.0,Neutral
The Classics,,The Classics ,0.0,Neutral
Heat,,Heat ,0.0,Neutral
My hits,,My hits ,0.0,Neutral
Fix You,,Fix You ,0.0,Neutral
I workout!,,I workout! ,0.0,Neutral
Disney,,Disney ,0.0,Neutral
everything,,everything ,0.0,Neutral
boujee,,boujee ,0.0,Neutral
Country Mix,,Country Mix ,0.0,Neutral
bird,,bird ,0.0,Neutral
Camp,,Camp ,0.0,Neutral
rap,,rap ,0.0,Neutral
Deb,,Deb ,0.0,Neutral
christmas,,christmas ,0.0,Neutral
2016,,2016 ,0.0,Neutral
nostalgia,,nostalgia ,0.0,Neutral
english,,english ,0.0,Neutral
empty,,empty ,-0.2023,Negative
The Good Stuff,,The Good Stuff ,0.4404,Positive
Local,,Local ,0.0,Neutral
chill,,chill ,0.0,Neutral
Lit🔥🔥,,Lit🔥🔥 ,-0.5859,Negative
Indie Stuff,,Indie Stuff ,0.0,Neutral
chill,,chill ,0.0,Neutral
 Frozen,, Frozen ,0.0,Neutral
HER,,HER ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
songs to dance to,,songs to dance to ,0.0,Neutral
study,,study ,0.0,Neutral
summer 16',,summer 16' ,0.0,Neutral
Hungover,,Hungover ,0.0,Neutral
work,,work ,0.0,Neutral
Christmas Favorites,,Christmas Favorites ,0.4215,Positive
mood music,,mood music ,0.0,Neutral
good vibes,,good vibes ,0.4404,Positive
I like these songs,,I like these songs ,0.3612,Positive
Cha Cha,,Cha Cha ,0.0,Neutral
Worship,,Worship ,0.296,Positive
PURPLE,,PURPLE ,0.0,Neutral
April 2016,,April 2016 ,0.0,Neutral
My Heart,,My Heart ,0.6369,Positive
recovery,,recovery ,0.0,Neutral
space jams,songs that make me want to be better,space jams songs that make me want to be better,0.4939,Positive
bored,,bored ,-0.2732,Negative
Volleyball,,Volleyball ,0.0,Neutral
Mixed,,Mixed ,0.0,Neutral
Jammin,,Jammin ,0.0,Neutral
Chidas,,Chidas ,0.0,Neutral
ELECTRONICAS,,ELECTRONICAS ,0.0,Neutral
new new,,new new ,0.0,Neutral
Country,,Country ,0.0,Neutral
Working Out,,Working Out ,0.0,Neutral
EDC,,EDC ,0.0,Neutral
run 2,,run 2 ,0.0,Neutral
Office,,Office ,0.0,Neutral
Songs I Love,,Songs I Love ,0.6369,Positive
SEPTEMBER 2017,,SEPTEMBER 2017 ,0.0,Neutral
BUMP,,BUMP ,0.0,Neutral
Reception,,Reception ,0.0,Neutral
Old Rock,,Old Rock ,0.0,Neutral
Edward Sharpe & The Magnetic Zeros,,Edward Sharpe & The Magnetic Zeros ,0.0,Neutral
Two,,Two ,0.0,Neutral
Good music ,,Good music  ,0.4404,Positive
1980's,,1980's ,0.0,Neutral
Country,,Country ,0.0,Neutral
playlist,,playlist ,0.0,Neutral
Throwbacks,,Throwbacks ,0.0,Neutral
Classic Country,,Classic Country ,0.0,Neutral
Thuggin,,Thuggin ,0.0,Neutral
trending,,trending ,0.0,Neutral
Relax,,Relax ,0.4404,Positive
My High-Intensity Workout,,My High-Intensity Workout ,0.0,Neutral
Sundays,,Sundays ,0.0,Neutral
sunday,,sunday ,0.0,Neutral
Oldies,,Oldies ,0.0,Neutral
dance yrself clean,,dance yrself clean ,0.4019,Positive
Sleep Music,,Sleep Music ,0.0,Neutral
DISCOVER,,DISCOVER ,0.0,Neutral
Lit,,Lit ,0.0,Neutral
old but good,,old but good ,0.5927,Positive
Awesome,,Awesome ,0.6249,Positive
Pump up,,Pump up ,0.0,Neutral
BEST SONGS EVER,,BEST SONGS EVER ,0.6369,Positive
old school,,old school ,0.0,Neutral
PARTY,,PARTY ,0.4019,Positive
dance,,dance ,0.0,Neutral
Alternative,,Alternative ,0.0,Neutral
Rock,,Rock ,0.0,Neutral
Summer '16,,Summer '16 ,0.0,Neutral
Pearl Jam,,Pearl Jam ,0.0,Neutral
petrichor,,petrichor ,0.0,Neutral
LITT ,,LITT  ,0.0,Neutral
Rock,,Rock ,0.0,Neutral
Baby shower,,Baby shower ,0.0,Neutral
beautiful,,beautiful ,0.5994,Positive
mine,,mine ,0.0,Neutral
John's Playlist,&lt;Insert catchy description here&gt;,John's Playlist &lt;Insert catchy description here&gt;,0.0,Neutral
rock,,rock ,0.0,Neutral
Oldies,,Oldies ,0.0,Neutral
vibin,,vibin ,0.0,Neutral
Move,,Move ,0.0,Neutral
Seduction,,Seduction ,0.0,Neutral
Fire,,Fire ,-0.34,Negative
halloweenie,,halloweenie ,0.0,Neutral
Reception,,Reception ,0.0,Neutral
Love,,Love ,0.6369,Positive
Rock,,Rock ,0.0,Neutral
Worship,,Worship ,0.296,Positive
hayley,,hayley ,0.0,Neutral
Inspiration,,Inspiration ,0.5267,Positive
<3,,<3 ,0.4404,Positive
Playlist,,Playlist ,0.0,Neutral
2k17,,2k17 ,0.0,Neutral
R&B classics,,R&B classics ,0.0,Neutral
Fall 2015,,Fall 2015 ,0.0,Neutral
hoe anthems,,hoe anthems ,0.0,Neutral
the mix,,the mix ,0.0,Neutral
summer '17,,summer '17 ,0.0,Neutral
nashville,,nashville ,0.0,Neutral
Christmas songs ,,Christmas songs  ,0.0,Neutral
jamz,,jamz ,0.0,Neutral
Summer 2016,,Summer 2016 ,0.0,Neutral
stuff,,stuff ,0.0,Neutral
The Greatest,,The Greatest ,0.6369,Positive
#chill,,#chill ,0.0,Neutral
country,,country ,0.0,Neutral
country ,,country  ,0.0,Neutral
Classical,,Classical ,0.0,Neutral
disney bops,,disney bops ,0.0,Neutral
top down,,top down ,0.2023,Positive
Rap Songs,,Rap Songs ,0.0,Neutral
Chillout ,,Chillout  ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
MERICA,,MERICA ,0.0,Neutral
Dubstep ,,Dubstep  ,0.0,Neutral
KILLA,,KILLA ,0.0,Neutral
hey,,hey ,0.0,Neutral
mello,,mello ,0.0,Neutral
spanish,,spanish ,0.0,Neutral
death,,death ,-0.5994,Negative
Marshall ,,Marshall  ,0.0,Neutral
Summer 2014,,Summer 2014 ,0.0,Neutral
Rap it up,,Rap it up ,0.0,Neutral
Slow Stuff,,Slow Stuff ,0.0,Neutral
flow,,flow ,0.0,Neutral
Maui,,Maui ,0.0,Neutral
Lit af,,Lit af ,0.0,Neutral
Neo,,Neo ,0.0,Neutral
summer playlist,,summer playlist ,0.0,Neutral
Dancehall,,Dancehall ,0.0,Neutral
new,,new ,0.0,Neutral
Gym,,Gym ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
nc,,nc ,0.0,Neutral
2pac,,2pac ,0.0,Neutral
Pump up,,Pump up ,0.0,Neutral
Party Playlist,,Party Playlist ,0.4019,Positive
New Music,,New Music ,0.0,Neutral
Dancing on my own,,Dancing on my own ,0.0,Neutral
New,,New ,0.0,Neutral
David,,David ,0.0,Neutral
Michelle ,,Michelle  ,0.0,Neutral
Bad and Boujee,,Bad and Boujee ,-0.5423,Negative
R&B,,R&B ,0.0,Neutral
🌈🌈🌈,,🌈🌈🌈 ,0.0,Neutral
FALL 2013,,FALL 2013 ,0.0,Neutral
old,,old ,0.0,Neutral
Daze,,Daze ,-0.1779,Negative
rap,,rap ,0.0,Neutral
Country,,Country ,0.0,Neutral
thinking of you,,thinking of you ,0.0,Neutral
